time_since_fade_in (s), phase_, amp (rad), freq (Hz), policy_output.at(motor_idx), policy_output.at(motor_idx) * params_.action_scales.at(motor_idx) (rad), motor_position (rad), motor_velocity (rad/s)
0.00549413, 0.054749, 0, 1, 0, 0, 0.0225811, -0.14286
0.00729838, 0.0957181, 0, 1, 0, 0, 0.0218181, -0.14286
0.0134491, 0.150171, 0, 1, 0, 0, 0.0214367, -0.111115
0.0163206, 0.197538, 0, 1, 0, 0, 0.0210552, -0.0793686
0.0203069, 0.24482, 0, 1, 0, 0, 0.0206737, -0.0793686
0.0224382, 0.28035, 0, 1, 0, 0, 0.0199108, -0.0793686
0.0300837, 0.338801, 0, 1, 0, 0, 0.0191478, -0.174606
0.03086, 0.379321, 0, 1, 0, 0, 0.017622, -0.269844
0.0374152, 0.429021, 0, 1, 0, 0, 0.0149517, -0.46032
0.0384754, 0.464673, 0, 1, 0, 0, 0.0118999, -0.650795
0.045576, 0.519923, 0, 1, 0, 0, 0.00999256, -0.555557
0.0464412, 0.555419, 0, 1, 0, 0, 0.00770279, -0.555557
0.0537435, 0.611736, 0, 1, 0, 0, 0.00426956, -0.714287
0.0555497, 0.654423, 0, 1, 0, 0, 0.00236221, -0.682541
0.0602622, 0.701177, 0, 1, 0, 0, 0.00159927, -0.396828
0.0644128, 0.749129, 0, 1, 0, 0, 0.00236221, -0.0793686
0.0682654, 0.796144, 0, 1, 0, 0, 0.00312515, 0.206352
0.0720731, 0.841957, 0, 1, 0, 0, 0.00426956, 0.269844
0.0766796, 0.891566, 0, 1, 0, 0, 0.0050325, 0.269844
0.0784385, 0.927155, 0, 1, 0, 0, 0.00541397, 0.174606
0.0855164, 0.981986, 0, 1, 0, 0, 0.0050325, 0.0158768
0.0864518, 1.01764, 0, 1, 0, 0, 0.00465103, -0.0476227
0.0928833, 1.06853, 0, 1, 0, 0, 0.00426956, -0.0793686
0.0961798, 1.11502, 0, 1, 0, 0, 0.00426956, -0.0793686
0.100183, 1.16149, 0, 1, 0, 0, 0.00388809, -0.0476227
