time_since_fade_in (s), phase_, amp (rad), freq (Hz), policy_output.at(motor_idx), policy_output.at(motor_idx) * params_.action_scales.at(motor_idx) (rad), motor_position (rad), motor_velocity (rad/s)
0.00548007, 0.0618747, 0, 1, 0, 0, 0.023344, -0.111115
0.00622938, 0.106619, 0, 1, 0, 0, 0.0221996, -0.174606
0.0140755, 0.165664, 0, 1, 0, 0, 0.0210552, -0.269844
0.0147818, 0.217384, 0, 1, 0, 0, 0.0199108, -0.269844
0.0196429, 0.25409, 0, 1, 0, 0, 0.0187664, -0.238098
0.0226298, 0.298044, 0, 1, 0, 0, 0.0180034, -0.206352
0.0279368, 0.350208, 0, 1, 0, 0, 0.016859, -0.238098
0.0306146, 0.394089, 0, 1, 0, 0, 0.0153331, -0.333336
0.0352717, 0.442089, 0, 1, 0, 0, 0.0134258, -0.428574
0.0394176, 0.491001, 0, 1, 0, 0, 0.0115184, -0.46032
0.0426048, 0.534808, 0, 1, 0, 0, 0.010374, -0.396828
0.048615, 0.591252, 0, 1, 0, 0, 0.00846573, -0.333336
0.0497039, 0.629396, 0, 1, 0, 0, 0.00579544, -0.46032
0.0553989, 0.678201, 0, 1, 0, 0, 0.00388809, -0.555557
0.0577071, 0.716402, 0, 1, 0, 0, 0.00236221, -0.46032
0.0642248, 0.77031, 0, 1, 0, 0, 0.00198074, -0.269844
0.0656971, 0.808414, 0, 1, 0, 0, 0.00274368, -0.0158768
0.0736857, 0.871593, 0, 1, 0, 0, 0.00388809, 0.174606
0.0743984, 0.918461, 0, 1, 0, 0, 0.00426956, 0.174606
0.0796009, 0.95981, 0, 1, 0, 0, 0.00426956, 0.14286
0.0835657, 1.00967, 0, 1, 0, 0, 0.00426956, 0.0476227
0.0880476, 1.06255, 0, 1, 0, 0, 0.00388809, -0.0158768
0.089712, 1.1007, 0, 1, 0, 0, 0.00388809, -0.0476227
0.0956173, 1.15085, 0, 1, 0, 0, 0.00388809, -0.0158768
0.0977094, 1.18901, 0, 1, 0, 0, 0.00388809, 0.0158768
0.105219, 1.24925, 0, 1, 0, 0, 0.00388809, 0.0158768
0.105984, 1.29067, 0, 1, 0, 0, 0.00388809, 0.0158768
0.112757, 1.34505, 0, 1, 0, 0, 0.00388809, 0.0158768
0.114532, 1.38833, 0, 1, 0, 0, 0.00388809, 0.0158768
0.119576, 1.43824, 0, 1, 0, 0, 0.00388809, 0.0158768
0.123498, 1.48766, 0, 1, 0, 0, 0.00388809, 0.0158768
0.127868, 1.53938, 0, 1, 0, 0, 0.00388809, 0.0158768
0.129702, 1.57751, 0, 1, 0, 0, 0.00388809, 0.0158768
0.135498, 1.62692, 0, 1, 0, 0, 0.00388809, 0.0158768
0.137702, 1.66505, 0, 1, 0, 0, 0.00388809, 0.0158768
0.145955, 1.72992, 0, 1, 0, 0, 0.00388809, 0.0158768
0.146672, 1.7802, 0, 1, 0, 0, 0.00388809, 0.0158768
0.152881, 1.82619, 0, 1, 0, 0, 0.00388809, 0.0158768
0.153702, 1.86431, 0, 1, 0, 0, 0.00388809, 0.0158768
0.159803, 1.91566, 0, 1, 0, 0, 0.00388809, 0.0158768
0.164132, 1.96906, 0, 1, 0, 0, 0.00388809, 0.0158768
0.165708, 2.00723, 0, 1, 0, 0, 0.00388809, 0.0158768
0.173002, 2.06611, 0, 1, 0, 0, 0.00388809, 0.0158768
0.17372, 2.10443, 0, 1, 0, 0, 0.00388809, 0.0158768
0.179521, 2.15388, 0, 1, 0, 0, 0.00388809, 0.0158768
0.182868, 2.19933, 0, 1, 0, 0, 0.00388809, 0.0158768
0.187846, 2.25095, 0, 1, 0, 0, 0.00388809, 0.0158768
0.191495, 2.30036, 0, 1, 0, 0, 0.00388809, 0.0158768
0.194523, 2.34361, 0, 1, 0, 0, 0.00388809, 0.0158768
0.19946, 2.39278, 0, 1, 0, 0, 0.00388809, 0.0158768
0.2017, 2.43091, 0, 1, 0, 0, 0.00388809, 0.0158768
0.20812, 2.48424, 0, 1, 0, 0, 0.00388809, 0.0158768
0.209699, 2.52235, 0, 1, 0, 0, 0.00388809, 0.0158768
0.21544, 2.57141, 0, 1, 0, 0, 0.00388809, 0.0158768
0.219482, 2.62073, 0, 1, 0, 0, 0.00388809, 0.0158768
0.223438, 2.66977, 0, 1, 0, 0, 0.00388809, 0.0158768
0.227899, 2.72171, 0, 1, 0, 0, 0.00388809, 0.0158768
0.230468, 2.76466, 0, 1, 0, 0, 0.00388809, 0.0158768
0.235273, 2.81268, 0, 1, 0, 0, 0.00388809, 0.0158768
0.23948, 2.86201, 0, 1, 0, 0, 0.00388809, 0.0158768
0.241724, 2.90026, 0, 1, 0, 0, 0.00388809, 0.0158768
0.247887, 2.95211, 0, 1, 0, 0, 0.00388809, 0.0158768
0.2497, 2.99022, 0, 1, 0, 0, 0.00388809, 0.0158768
0.255998, 3.04279, 0, 1, 0, 0, 0.00388809, 0.0158768
0.259496, 3.09221, 0, 1, 0, 0, 0.00388809, 0.0158768
0.261699, 3.13031, 0, 1, 0, 0, 0.00388809, 0.0158768
0.26819, 3.18409, 0, 1, -0, -0, 0.00388809, 0.0158768
0.269699, 3.22221, 0, 1, -0, -0, 0.00388809, 0.0158768
0.275368, 3.27085, 0, 1, -0, -0, 0.00388809, 0.0158768
0.277698, 3.30888, 0, 1, -0, -0, 0.00388809, 0.0158768
0.285427, 3.37043, 0, 1, -0, -0, 0.00388809, 0.0158768
0.286154, 3.41414, 0, 1, -0, -0, 0.00388809, 0.0158768
0.292694, 3.46562, 0, 1, -0, -0, 0.00388809, 0.0158768
0.293706, 3.50375, 0, 1, -0, -0, 0.00388809, 0.0158768
0.299866, 3.55552, 0, 1, -0, -0, 0.00388809, 0.0158768
0.303342, 3.60391, 0, 1, -0, -0, 0.00388809, 0.0158768
0.307879, 3.65574, 0, 1, -0, -0, 0.00388809, 0.0158768
0.309701, 3.69384, 0, 1, -0, -0, 0.00388809, 0.0158768
0.315343, 3.74229, 0, 1, -0, -0, 0.00388809, 0.0158768
0.319417, 3.7912, 0, 1, -0, -0, 0.00388809, 0.0158768
0.3217, 3.82932, 0, 1, -0, -0, 0.00388809, 0.0158768
0.328125, 3.88269, 0, 1, -0, -0, 0.00388809, 0.0158768
0.329698, 3.9208, 0, 1, -0, -0, 0.00388809, 0.0158768
0.33554, 3.97053, 0, 1, -0, -0, 0.00388809, 0.0158768
0.339386, 4.01918, 0, 1, -0, -0, 0.00388809, 0.0158768
0.343317, 4.06747, 0, 1, -0, -0, 0.00388809, 0.0158768
0.347938, 4.11965, 0, 1, -0, -0, 0.00388809, 0.0158768
0.349696, 4.15773, 0, 1, -0, -0, 0.00388809, 0.0158768
0.355347, 4.20621, 0, 1, -0, -0, 0.00388809, 0.0158768
0.359409, 4.25507, 0, 1, -0, -0, 0.00388809, 0.0158768
0.363303, 4.30326, 0, 1, -0, -0, 0.00388809, 0.0158768
0.368316, 4.35783, 0, 1, -0, -0, 0.00388809, 0.0158768
0.369715, 4.39605, 0, 1, -0, -0, 0.00388809, 0.0158768
0.375543, 4.44575, 0, 1, -0, -0, 0.00388809, 0.0158768
0.379391, 4.4945, 0, 1, -0, -0, 0.00388809, 0.0158768
0.381704, 4.53267, 0, 1, -0, -0, 0.00388809, 0.0158768
0.387936, 4.58486, 0, 1, -0, -0, 0.00388809, 0.0158768
0.389699, 4.6229, 0, 1, -0, -0, 0.00388809, 0.0158768
0.395326, 4.67123, 0, 1, -0, -0, 0.00388809, 0.0158768
0.39938, 4.71994, 0, 1, -0, -0, 0.00388809, 0.0158768
0.403348, 4.7684, 0, 1, -0, -0, 0.00388809, 0.0158768
0.407819, 4.81986, 0, 1, -0, -0, 0.00388809, 0.0158768
0.410469, 4.86279, 0, 1, -0, -0, 0.00388809, 0.0158768
0.414445, 4.90558, 0, 1, -0, -0, 0.00388809, 0.0158768
0.419432, 4.95458, 0, 1, -0, -0, 0.00388809, 0.0158768
0.425067, 5.01387, 0, 1, -0, -0, 0.00388809, 0.0158768
0.425795, 5.05305, 0, 1, -0, -0, 0.00388809, 0.0158768
0.432708, 5.10914, 0, 1, -0, -0, 0.00388809, 0.0158768
